ort;location;lat;lon
[Bremen];;;
Wolgast;Wolgast, Am Peenestrom, Vorpommern-Greifswald, Mecklenburg-Vorpommern, 17438, Deutschland;54.0536473;13.7757809
Wien, VII., Westbahnstr. 25;;;
[London] WC 2, 44, Leicetsre Square;;;
Londini;Cascata del Londini, Pitigliano, Unione di Comuni Montani Colline del Fiora, Grosseto, Toscana, 58017, Italia;42.6377808;11.6665497
Heidelberg, Fahrtgasse 20;20, Fahrtgasse, Altstadt, Heidelberg, Baden-Württemberg, 69117, Deutschland;49.4103363;8.6946524
Schwerin i. M.;Schwerin, Mecklenburg-Vorpommern, Deutschland;53.6288297;11.4148038
Hagen i. W.;Hagen, Flaberg, Gummersbach, Oberbergischer Kreis, Nordrhein-Westfalen, 51647, Deutschland;51.028419;7.445261
Kolmar;Colmar, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, France métropolitaine, 68000, France;48.0777517;7.3579641
[Leipzig C 1, Königstr. 31];;;
Wuppertal-Elberfeld [, Hahnerberg];Hahnerberg, Theishahn, Gemarkung Elberfeld, Wuppertal, Nordrhein-Westfalen, 42349, Deutschland;51.2287485;7.1493049
Stutgardiae;Stuttgart, Baden-Württemberg, Deutschland;48.7784485;9.1800132
Hallis Saxonum;;;
Görlitz;Görlitz, Sachsen, Deutschland;51.1563185;14.991018
Mannheim-Neckarau [Friedhofstr. 3];Friedhofstraße, Neckarau, Mannheim, Baden-Württemberg, 68199, Deutschland;49.454565;8.5018682
Prag [VIII 94];Praha, Česko;50.0596288;14.446459273258009
Dornach;Dornach, Bezirk Dorneck, Amtei Dorneck-Thierstein, Solothurn, 4143, Schweiz/Suisse/Svizzera/Svizra;47.4806097;7.6176609
[Meissen];;;
[Berlin C 2, Neue Friedrichstr. 37];Anna-Louisa-Karsch-Straße, Spandauer Vorstadt, Mitte, Berlin, 10178, Deutschland;52.5214172;13.4030101
Berlin-Charlottenburg 2, Neue Grolmanstr. 5-6;;;
Basel [Bahnhofstr. 1];1, Bahnhofstrasse, Riehen, Basel-Stadt, 4125, Schweiz/Suisse/Svizzera/Svizra;47.584411;7.6524008
Wolfach;Wolfach, Verwaltungsgemeinschaft Wolfach, Ortenaukreis, Baden-Württemberg, 77709, Deutschland;48.2985845;8.222608
Brüssel [Koninklijkestraat 101];Bruxelles / Brussel, Ville de Bruxelles - Stad Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien;50.8436709;4.3674366933879565
Leipzig W 33 [, Luppenstr. 20b];Luppenstraße, Altlindenau, Altwest, Leipzig, Sachsen, 04177, Deutschland;51.3366807;12.3398365
Chemnitz [Markt, Neues Rathaus];;;
Zürich [, Dietzingerstr. 3];Zum Froschauer, 3, Dietzingerstrasse, Sihlfeld, Wiedikon, Zürich, Bezirk Zürich, Zürich, 8003, Schweiz/Suisse/Svizzera/Svizra;47.36937805;8.52205795667037
Karlsbad;Karlovy Vary, okres Karlovy Vary, Karlovarský kraj, Severozápad, Česko;50.2304694;12.8710769
Hartenstein im Erzgeb.;;;
[Kassel, Friedrich Wilhelmsplatz 6];;;
Pittsburgh, Pennsylvania USA;Pittsburgh, Allegheny County, Pennsylvania, United States;40.4416941;-79.9900861
[St. Gallen];St. Gallen, Wahlkreis St. Gallen, Sankt Gallen, Schweiz/Suisse/Svizzera/Svizra;47.4250593;9.3765878
Leipzig W 32, Antonienstr. 18;Praxis Dr. A.-K. Gürtler, 18, Antonienstraße, Kleinzschocher, Südwest, Leipzig, Sachsen, 04229, Deutschland;51.3200471;12.3318581
M. Gladbach;Gladbach, Wittlich-Land, Landkreis Bernkastel-Wittlich, Rheinland-Pfalz, Deutschland;49.9349396;6.769316
Horgen-Zürich;Horgen, Bezirk Horgen, Zürich, 8810, Schweiz/Suisse/Svizzera/Svizra;47.260692;8.5976831
Oldenburg i. O.;Oldenburg, Whiteley, Burridge, Fareham, Hampshire, South East England, England, PO15 7EJ, United Kingdom;50.8861624;-1.2628043
Bayreuth;Bayreuth, Bayern, Deutschland;49.9427202;11.5763079
Snits;Sneek, Súdwest-Fryslân, Fryslân, Nederland;53.033548;5.6611029
Volosca [vielmehr Wien];Volosko, Pobri, Grad Opatija, Primorsko-goranska županija, 51413, Hrvatska;45.3483902;14.3200644
Mainz [Rheinallee 3];Mainz, Rheinland-Pfalz, Deutschland;50.0012314;8.2762513
[Hellerau bei Dresden];;;
[Hamburg 1, Mönckebergstr. 21];Hulbe-Haus, 21, Mönckebergstraße, Altstadt, Hamburg-Mitte, Hamburg, 20095, Deutschland;53.5505105;9.997502627990304
[Mainz, Rheinallee 3 3/10];Rheinallee, Altstadt, Mainz, Rheinland-Pfalz, 55116, Deutschland;50.0092261;8.2684616
Wien I, Tiefer Graben 19;19, Tiefer Graben, Schottenviertel, Innere Stadt, Wien, 1010, Österreich;48.2124186;16.3679475
Teutschland;;;
Berlin[-Wilmersdorf, Helmstedter Str. 11];11, Helmstedter Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10717, Deutschland;52.4893665;13.334065
Baden;Baden, Vannes, Morbihan, Bretagne, France métropolitaine, 56870, France;47.6199988;-2.9184744
Strelitz in Meckl.;;;
Halis saxonum;;;
Neuchâtal {[usw.];;;
Warschau;Warszawa, województwo mazowieckie, Polska;52.2319581;21.0067249
[Berlin W 35, Schöneberger Ufer 41];Schöneberger Ufer, Tiergarten, Mitte, Berlin, 10785, Deutschland;52.5044153;13.3722972
Altenburg, Thür.;Thurstrasse, Bühlhof, Alten, Kleinandelfingen, Bezirk Andelfingen, Zürich, 8453, Schweiz/Suisse/Svizzera/Svizra;47.6062324;8.6596211
Hamburg [Spaldingstr. 64];Fennobed, 64, Spaldingstraße, Hammerbrook, Hamburg-Mitte, Hamburg, 20097, Deutschland;53.5483185;10.0137922
Louvain;Leuven, Vlaams-Brabant, Vlaanderen, België / Belgique / Belgien;50.879202;4.7011675
Hamburg [Lokstedt];Hamburg, 20095, Deutschland;53.550341;10.000654
Heidelbergae;Heidelberg, Baden-Württemberg, Deutschland;49.4093582;8.694724
Spirae;Speyer, Rheinland-Pfalz, 67346, Deutschland;49.3165553;8.433615
Tübinga;Tübingen, Landkreis Tübingen, Baden-Württemberg, Deutschland;48.5236164;9.0535531
Berlin [W. 57, Potsdamer Str. 96];Wintergarten Varieté, 96, Potsdamer Straße, Botschaftsviertel, Tiergarten, Mitte, Berlin, 10785, Deutschland;52.5021802;13.364582
Stade;Stade, Niedersachsen, Deutschland;53.599794;9.475438
Wismar;Wismar, Nordwestmecklenburg, Mecklenburg-Vorpommern, Deutschland;53.8909832;11.4647932
[Frankfurt a. M., Ottostr. 4];4, Ottostraße, Gallus, Innenstadt 1, Frankfurt am Main, Hessen, 60329, Deutschland;50.1079816;8.660744302000005
Kennelbach [Vorarlberg];Kennelbach, Gemeinde Kennelbach, Bezirk Bregenz, Vorarlberg, 6921, Österreich;47.4796561;9.7648686
[Genf, Bourg-de-Four 32];Bourg-de-Four, Cité, Genève, Grand Genève, Genève, 1204, Schweiz/Suisse/Svizzera/Svizra;46.2001625;6.1487254
[Genf 2, Avenue de Sécheron];2, Avenue de Sécheron, Sécheron, Pâquis, Genève, Grand Genève, Genève, 1202, Schweiz/Suisse/Svizzera/Svizra;46.2204448;6.1493778
[Dresden;Dresden, Sachsen, Deutschland;51.0493286;13.7381437
Klotzsche];Klotzsche, Dresden, Sachsen, 01109, Deutschland;51.1186284;13.7781539
Querfurt;Querfurt, Saalekreis, Sachsen-Anhalt, Deutschland;51.3785275;11.5974443
München-Pullach;Pullach im Isartal, Landkreis München, Bayern, 82049, Deutschland;48.0556122;11.5217455
Berlin-Wilmersdorf [Kaiserallee 26];Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, Deutschland;52.4871152;13.3203298
[Hamburg 35, Ausschlägerweg 1];;;
Kaiserslautern;Kaiserslautern, Rheinland-Pfalz, Deutschland;49.4432174;7.7689951
Darmstadt [Wilhelminen Str. 43];43, Wilhelminenstraße, St. Ludwig mit Eichbergviertel, Darmstadt-Mitte, Darmstadt, Hessen, 64283, Deutschland;49.8670557;8.6520597
Erlenbach b. Zürich;Erlenbach, Bahnhofstrasse, Erlenbach (ZH), Bezirk Meilen, Zürich, 8703, Schweiz/Suisse/Svizzera/Svizra;47.3058073;8.5914071
Naunhof;Naunhof, Landkreis Leipzig, Sachsen, 04683, Deutschland;51.2779508;12.5882898
Lubec;Lubec, Washington County, Maine, 04652, United States;44.860736;-66.984329
Darmstadt [Residenzschloss];Darmstadt, Hessen, Deutschland;49.872775;8.651177
Arnau/Riesengeb.;;;
Freiburg i./B.;Freiburg, El Páramo, Peñablanca, Villa Alemana, Provincia de Marga Marga, Región de Valparaíso, 6500000, Chile;-33.0382747;-71.3482033
Chicago;Chicago, Cook County, Illinois, United States;41.8755616;-87.6244212
Biberach a. d. Riss (Württ.);;;
[Leipzig, Helfferichstr. 40];;;
Peking;北京市, 东城区, 北京市, 100010, 龙虬庄文化;39.906217;116.3912757
Dießen;Dissen, Landkreis Osnabrück, Niedersachsen, 49201, Deutschland;52.115769;8.2034345
Tokio (Meiji-Seimei-kan, Marunouchi);;;
B.[-Schöneberg, Cranachstr. 3];3/4, Cranachstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 12157, Deutschland;52.46858925;13.341737939435124
Düsseldorf [, Wilhelm-Marx-Haus];Wilhelm-Marx-Haus, 53, Heinrich-Heine-Allee, Stadtmitte, Stadtbezirk 1, Düsseldorf, Nordrhein-Westfalen, 40213, Deutschland;51.2249105;6.776803589187996
Cassel;Cassel, Dunkerque, Nord, Hauts-de-France, France métropolitaine, 59670, France;50.8000011;2.4868314
Frankfurt a. M. [, Junghoffstr. 8];;;
Klagenfurt;Klagenfurt am Wörthersee, Kärnten, Österreich;46.6228162;14.3079604
Rom;Roma, Roma Capitale, Lazio, Italia;41.8933203;12.4829321
Helmstedt;Helmstedt, Landkreis Helmstedt, Niedersachsen, 38350, Deutschland;52.2277037;11.0104702
Mediolani;Duomo di Milano, 1_33051, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia;45.46416835;9.191621109614111
Meiningen;Meiningen, Ost, Kernstadt Meiningen, Meiningen, Landkreis Schmalkalden-Meiningen, Thüringen, 98617, Deutschland;50.57342505;10.428371137607764
Königsberg i. Pr.;;;
Münster i. Westf. [Hörsterstr. 47-48];;;
Schwerin i. Mecklb.;;;
[Passau];;;
[Melante-Gremsmühlen];;;
Hamburg [23, Blumenau 21];Hamburg, 55, Rua Armação, Pomerode, Região Geográfica Imediata de Blumenau, Santa Catarina, Região Sul, 89107-000, Brasil;-26.726795199999998;-49.168604450000004
[Darmstadt, Karlsstr. 100];;;
Kiiv;Київ, Україна;50.4500336;30.5241361
Berlin S.W. 29 [Gneisenaustr. 27];27, Gneisenaustraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10961, Deutschland;52.4909972;13.395570391919625
Solingen;Solingen, Nordrhein-Westfalen, Deutschland;51.1712468;7.0838996
Dresden, Breite Str. [7];Breite Heide, Graupa, Pirna, Sächsische Schweiz-Osterzgebirge, Sachsen, Deutschland;50.992658750000004;13.900140885040544
[Harburg-Wilhelmsburg];Imkerverein Harburg-Wilhelmsburg, Luchspfad, Ehestorf, Alvesen, Rosengarten, Harburg, Niedersachsen, 21224, Deutschland;53.4433826;9.88733127172619
Dresden-A. 28;Dresden, San Antonio, Bexar County, Texas, 78213, United States;29.498968;-98.525853
Berlin [SW 11. Hallesches Ufer 19];Hallesches Ufer, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10785, Deutschland;52.5026162;13.3759195
Trebsen;Trebsen/Mulde, Landkreis Leipzig, Sachsen, 04687, Deutschland;51.2894732;12.7517578
London {[usw.];;;
Lemgo;Lemgo, Kreis Lippe, Nordrhein-Westfalen, 32657, Deutschland;52.0280674;8.9012894
Dornach (Schweiz);Dornach, Bezirk Dorneck, Amtei Dorneck-Thierstein, Solothurn, 4143, Schweiz/Suisse/Svizzera/Svizra;47.4806097;7.6176609
Leipzig [Wächterstr. 11];Hochschule für Grafik und Buchkunst, 11, Wächterstraße, Musikviertel, Zentrum-Süd, Mitte, Leipzig, Sachsen, 04107, Deutschland;51.33319055;12.367957857934158
Berlin [Unter den Linden 61];Berlin, 10117, Deutschland;52.5170365;13.3888599
[Güstrow, Wachsbleichenstr. 8];8, Wachsbleichenstraße, Schweriner Vorstadt, Güstrow, Landkreis Rostock, Mecklenburg-Vorpommern, 18273, Deutschland;53.7963047;12.174082788497168
Danzig;Gdańsk, powiat gdański, województwo pomorskie, Polska;54.36143405;18.62821847557274
Leipzig [Salomonstr. 8];Café Salomon, 8, Salomonstraße, Zentrum-Ost, Mitte, Leipzig, Sachsen, 04103, Deutschland;51.3395319;12.3885214
Dresden[-A.];A, Dresdner Heide, Loschwitz, Dresden, Sachsen, 01099, Deutschland;51.0814889;13.8780436
Straubing (Bayern);Straubing, Bayern, 94315, Deutschland;48.8819801;12.569716
Schliersee;Schliersee, Landkreis Miesbach, Bayern, 83727, Deutschland;47.7345915;11.8620286
[Lüneburg];Lüneburg, Niedersachsen, Deutschland;53.248706;10.407855
Stendal [, Westwall 39];39, Westwall, Bahnhofsvorstadt, Stendal, Sachsen-Anhalt, 39576, Deutschland;52.60044125;11.857753457581847
Dresden-Weinböhla;;;
Bützow;Bützow, Bützow-Land, Landkreis Rostock, Mecklenburg-Vorpommern, Deutschland;53.8500047;11.9832952
[Heidelberg];;;
Colmar, Schwendistr. 14;14, Rue Schwendi, Colmar, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, France métropolitaine, 68000, France;48.0739021;7.3611147
Landschlacht, Bodensee/Schweiz;Wäscherei Bodensee AG, 20, Seestrasse, Scherzingen, Münsterlingen, Bezirk Kreuzlingen, Thurgau, 8596, Schweiz/Suisse/Svizzera/Svizra;47.6325533;9.230998045950397
[Wien I, Wollzeile 23];Buddha Bowls by elena´s, 23, Wollzeile, Stubenviertel, Innere Stadt, Wien, 1010, Österreich;48.2083031;16.3768599
Einsiedeln;Einsiedeln, Schwyz, 8840, Schweiz/Suisse/Svizzera/Svizra;47.1286095;8.7500299
Frankfurt M.;M, Ellis Road, Flughafen, Süd, Frankfurt am Main, Hessen, 60549, Deutschland;50.0444151;8.5960226
Vienna [Wien];Wien, Österreich;48.2083537;16.3725042
Berlin W 62, Maassenstr. 34;Maaßenstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10777, Deutschland;52.4979035;13.3542573
Frankfurt a. M. [, Neue Mainzerstr. 57];57, Neue Mainzer Straße, Innenstadt, Innenstadt 1, Frankfurt am Main, Hessen, 60311, Deutschland;50.11295535;8.670753021387615
Berlin [SW 68, Kochstr. 53];Kochstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10969, Deutschland;52.506644;13.389454
[Dresden-N. Bautzner Str. 94];94, Bautzner Straße, Preußisches Viertel, Radeberger Vorstadt, Neustadt, Dresden, Sachsen, 01099, Deutschland;51.065533450000004;13.768834999999996
Zürich [Bahnhofstr. 1];Wetzikon, Bahnhofstrasse, Unterwetzikon, Wetzikon (ZH), Bezirk Hinwil, Zürich, 8620, Schweiz/Suisse/Svizzera/Svizra;47.3180931;8.7922663
Dachau b. München;Würm (in München), Gräfelfing, Landkreis München, Bayern, 80999, Deutschland;48.2018404;11.4558052
M[ün]ch[e]n;MUNCH, Edvard Munch plass, Sørengkaia, Gamle Oslo, Oslo, 0194, Norge;59.90563365;10.755167588815462
Wittingen, Lüneburger Heide;;;
Darmstadt [Hofmannstr. 19];19, Hofmannstraße, Griesheim, Landkreis Darmstadt-Dieburg, Hessen, 64347, Deutschland;49.861760399999994;8.561009850000001
Berlin-[Charlottenburg];Berlin, 10117, Deutschland;52.5170365;13.3888599
[Maastricht];;;
Hellerau [bei Dresden];Hellerau, Klotzsche, Dresden, Sachsen, 01109, Deutschland;51.1126122;13.7595615
Leipzig [Humboldtstr. 5];5, Humboldtstraße, Zentrum-Nord, Mitte, Leipzig, Sachsen, 04105, Deutschland;51.3462098;12.369907522231443
Grünwald [bei] München;Grünwald, Landkreis München, Bayern, 82031, Deutschland;48.0486558;11.5300727
Hamburg [, Bergstr. 26 III];Bergstraße, Altstadt, Hamburg-Mitte, Hamburg, 20095, Deutschland;53.5504941;9.9959779
Berlin [W. 35, Lützowstr. 15];15, Lützowstraße, Tiergarten, Mitte, Berlin, 10785, Deutschland;52.5024463;13.3692449
[Köln];Köln, Nordrhein-Westfalen, Deutschland;50.938361;6.959974
Leipzig [C 1, Nordstr. 54];54, Nordstraße, Zentrum-Nord, Mitte, Leipzig, Sachsen, 04105, Deutschland;51.350188849999995;12.374631276223685
Chemnitz [, Markt, Neues Rathaus];;;
Bühl;Buhl-Lorraine, Sarrebourg-Château-Salins, Moselle, Grand Est, France métropolitaine, 57400, France;48.7253;7.0853
[Düsseldorf];Düsseldorf, Nordrhein-Westfalen, Deutschland;51.2254018;6.7763137
Mainz [, Rheinallee 3];3, Rheinallee, Altstadt, Mainz, Rheinland-Pfalz, 55116, Deutschland;50.008201650000004;8.269694991442044
Mainz [, Stadtbibliothek];Wissenschaftliche Stadtbibliothek, 3b, Rheinallee, Altstadt, Mainz, Rheinland-Pfalz, 55116, Deutschland;50.00848055;8.269294765148286
Frankfurt am M.;Frankfurt, Calama, Provincia de El Loa, Región de Antofagasta, 234533, Chile;-22.4415023;-68.9356926
Konstanz;Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Baden-Württemberg, Deutschland;47.659216;9.1750718
München, Theresienstr. 78;Theresienstraße, Bezirksteil Universität, Maxvorstadt, München, Bayern, 80333, Deutschland;48.1487332;11.5727558
[Dresden-Klotzsche];Dresden-Klotzsche, Bahnhof Klotzsche, Klotzsche, Dresden, Sachsen, 01109, Deutschland;51.1144381;13.788889
Leipzig: [Rathausring 13];Leipzig, Sachsen, Deutschland;51.3406321;12.3747329
Leipzig [Rathausring 13];Leipzig, Sachsen, Deutschland;51.3406321;12.3747329
München, Tegernsee;Tegernseestraße, Vogelsiedlung, Heimstetten, Kirchheim bei München, Landkreis München, Bayern, 85551, Deutschland;48.1592593;11.75037
München-Gern;Gern, Waisenhausstraße, Bezirksteil Dom Pedro, Neuhausen-Nymphenburg, München, Bayern, 80637, Deutschland;48.16279;11.5291128
München [2 NO, Kaulbachstrasse 35, Gartenhaus];;;
Wolfach, Baden;Wolfach, Verwaltungsgemeinschaft Wolfach, Ortenaukreis, Baden-Württemberg, 77709, Deutschland;48.2985845;8.222608
Hellerau bei Dresden;Hellerau, Klotzsche, Dresden, Sachsen, 01109, Deutschland;51.1126122;13.7595615
Mainz [, Schulstr. 3];3, Schulstraße, Gaulsheim, Bingen am Rhein, Landkreis Mainz-Bingen, Rheinland-Pfalz, 55411, Deutschland;49.9654491;7.963867689828685
Zürich [St. Gallen];Zürich, Hauptstrasse, Nesslau, Neu Sankt Johann, Nesslau, Wahlkreis Toggenburg, Sankt Gallen, 9560, Schweiz/Suisse/Svizzera/Svizra;47.225919;9.1991716
Charlottenburg [Pascalstr. 16];16, Pascalstraße, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10587, Deutschland;52.5221703;13.3245432
[Charlottenburg];;;
[Luzern, Schwanenpl.];;;
Wien I [Grünangergasse 1];1, Grünangergasse, Stubenviertel, Innere Stadt, Wien, 1010, Österreich;48.207763;16.3758221
Berlin N 54, Zehdenicker Str. 5;5, Zehdenicker Straße, Prenzlauer Berg, Pankow, Berlin, 10119, Deutschland;52.5302027;13.406732
Offenbach a. M. [Ludwigstr. 21];21, Ludwigstraße, Zentrum, Offenbach am Main, Hessen, 63067, Deutschland;50.1001538;8.756120102166282
Bonnae;Bonn, Nordrhein-Westfalen, Deutschland;50.735851;7.10066
Wien [I, Tiefer Graben 19];19, Tiefer Graben, Schottenviertel, Innere Stadt, Wien, 1010, Österreich;48.2124186;16.3679475
M.-Gladbach;Gladbach, Wittlich-Land, Landkreis Bernkastel-Wittlich, Rheinland-Pfalz, Deutschland;49.9349396;6.769316
Tegernsee;Tegernsee, Landkreis Miesbach, Bayern, 83684, Deutschland;47.7099191;11.7543337
Ebenhausen bei München;Ebenhausen, Schäftlarn, Landkreis München, Bayern, 82067, Deutschland;47.9788079;11.4534323
Brakel i. W.;Brakel, Niederbarge, Menden, Märkischer Kreis, Nordrhein-Westfalen, 58708, Deutschland;51.4730545;7.8406006
Mühlhausen;Mühlhausen/Thüringen, Mühlhausen, Unstrut-Hainich-Kreis, Thüringen, 99974, Deutschland;51.2094255;10.4589044
Piesteritz (Bez. Halle);;;
[Bern, Bollwerk 19];19, Bollwerk, Rotes Quartier, Stadtteil I, Bern, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-Mittelland, Bern/Berne, 3011, Schweiz/Suisse/Svizzera/Svizra;46.9496215;7.4406814
Darmstadt [Schloß];Darmstädter Residenzschloss, Kirchenhof, Stadtzentrum, Darmstadt-Mitte, Darmstadt, Hessen, 64283, Deutschland;49.873648;8.655039
Dresden[-Klotzsche];Dresden-Klotzsche, Bahnhof Klotzsche, Klotzsche, Dresden, Sachsen, 01109, Deutschland;51.1144381;13.788889
Pasing bei München;Bezirksteil Pasing, Pasing-Obermenzing, München, Bayern, 81241, Deutschland;48.1477854;11.4607008
Ebenhausen;Ebenhausen, Schäftlarn, Landkreis München, Bayern, 82067, Deutschland;47.9788079;11.4534323
Stuttg;;;
[Leipzig, Hospitalstr. 11a];Hospitalstraße, Geithain, Landkreis Leipzig, Sachsen, 04643, Deutschland;51.0565255;12.6931208
[Klotzsche b.] Dresden;Klotzsche, Dresden, Sachsen, 01109, Deutschland;51.1186284;13.7781539
[Berlin C 2, Klosterstr. 69];Klosterstraße, Mitte, Berlin, 10179, Deutschland;52.5183869;13.41177
[Remscheid, Alleestr. 77a];Alleestraße, Büchen, Gemarkung Remscheid, Alt-Remscheid, Remscheid, Nordrhein-Westfalen, 42853, Deutschland;51.1814243;7.1782087
Bad Goisern;Bad Goisern, Bad Goisern am Hallstättersee, Bezirk Gmunden, Oberösterreich, 4822, Österreich;47.640622;13.6148009
[Hannover];;;
Schwäb[isch] Gmünd;;;
Riga;Rīga, Vidzeme, Latvija;56.9493977;24.1051846
Ostrava;Ostrava, okres Ostrava-město, Moravskoslezský kraj, Moravskoslezsko, Česko;49.8349139;18.2820084
[Bremen, Georg Gröning-Str. 99];99, Georg-Gröning-Straße, Schwachhausen, Stadtbezirk Bremen-Ost, Bremen, 28209, Deutschland;53.0854082;8.840695945492357
[Hannover, Warmbuchenstr. 8];Warmbüchenstraße, Südstadt, Mitte, Hannover, Region Hannover, Niedersachsen, 30159, Deutschland;52.3696848;9.7465769
[Bremen, Georg Gröning-Str.];Georg-Gröning-Straße, Schwachhausen, Stadtbezirk Bremen-Ost, Bremen, 28209, Deutschland;53.0854863;8.8402169
Hattingen;Hattingen, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, Deutschland;51.4007175;7.1862486
(Köln-Klettenberg);Köln-Klettenberg, A 4, Klettenberg, Lindenthal, Köln, Nordrhein-Westfalen, 50939, Deutschland;50.897529;6.9112836
[Stockholm];;;
Haag;Den Haag, Zuid-Holland, Nederland;52.0799838;4.3113461
Linz, Untere Donaulände 6;6, Untere Donaulände, Altstadtviertel, Innere Stadt, Linz, Oberösterreich, 4020, Österreich;48.3076679;14.2882732
Hartenstein;Hartenstein, Zwickau, Sachsen, 08118, Deutschland;50.6618358;12.6712469
[Bamberg, Passau];;;
[Lausanne;Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra;46.5218269;6.6327025
Köln];Köln, Nordrhein-Westfalen, Deutschland;50.938361;6.959974
[Basel;Basel, Basel-Stadt, Schweiz/Suisse/Svizzera/Svizra;47.5581077;7.5878261
Stuttgart];Stuttgart, Baden-Württemberg, Deutschland;48.7784485;9.1800132
Urach;Urach, Vöhrenbach, Schwarzwald-Baar-Kreis, Baden-Württemberg, 79871, Deutschland;48.0054454;8.2494009
Halae Saxon.;;;
Landshut;Landshut, Bayern, Deutschland;48.536217;12.1516551
Kazan;Казань, городской округ Казань, Татарстан, Приволжский федеральный округ, Россия;55.7823547;49.1242266
[Berlin W 35, Tirpitzufer 72/76];;;
Zwickau (Sachsen);Zwickau, Langenweißbach, Zwickau, Sachsen, 08134, Deutschland;50.7185043;12.4939267
Siegen-Leipzig;;;
Neurode;Nová Pláň, okres Bruntál, Moravskoslezský kraj, Moravskoslezsko, Česko;49.9219107;17.4750953
Den @Haag;Den Haag, Zuid-Holland, Nederland;52.0799838;4.3113461
Bern-Bümpliz;Bern-Bümpliz, A12, Holligen, Stadtteil III, Bern, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-Mittelland, Bern/Berne, 3018, Schweiz/Suisse/Svizzera/Svizra;46.9393277;7.4043817
Frederikshaven;Frederikshaven Golf Klub, Skagensvej, Elling, Frederikshavn Kommune, Region Nordjylland, 9970, Danmark;57.46817605;10.486638917423043
Memmingen/Allgäu;Allgäu Airport Memmingen, 35, Am Flughafen, Memmingerberg, Landkreis Unterallgäu, Bayern, 87766, Deutschland;47.9892386;10.235409335315072
Angermund;Angermund, Stadtbezirk 5, Düsseldorf, Nordrhein-Westfalen, Deutschland;51.3289952;6.7814162
Bern-Bumplitz;;;
London W. C. 1, Great Russell Street 4;Great Russell Street, St Giles, Bloomsbury, London Borough of Camden, London, Greater London, England, WC1B 3BP, United Kingdom;51.5191206;-0.123983
Schwäbisch Gmünd;Schwäbisch Gmünd, Verwaltungsgemeinschaft Schwäbisch Gmünd, Ostalbkreis, Baden-Württemberg, Deutschland;48.7999036;9.7977584
Neuchâtel/Suisse;Neuchâtel, Schweiz/Suisse/Svizzera/Svizra;46.9895828;6.9292641
Lexington, Kentucky;Lexington, Fayette County, Kentucky, United States;38.0464066;-84.4970393
Lichtenfels;Lichtenfels, Landkreis Lichtenfels, Bayern, 96215, Deutschland;50.14568;11.06382
Gent;Gent, Oost-Vlaanderen, Vlaanderen, België / Belgique / Belgien;51.0538286;3.7250121
Hradec Králové;Hradec Králové, okres Hradec Králové, Královéhradecký kraj, Severovýchod, Česko;50.2092113;15.8327512
Stammheim;Stammheim, Stuttgart, Baden-Württemberg, 70439, Deutschland;48.8497976;9.1573049
Neustadt a. d. Orla;Neustadt an der Orla, Saale-Orla-Kreis, Thüringen, 07806, Deutschland;50.7364311;11.7458512
Rixdorf;Rixdorf, Lebrade, Großer Plöner See, Plön, Schleswig-Holstein, 24306, Deutschland;54.2077602;10.4244773
[Berlin-Stegl.];;;
Mainz [, Rheinallee 3 3/10];Rheinallee, Altstadt, Mainz, Rheinland-Pfalz, 55116, Deutschland;50.0092261;8.2684616
Frankfurt a. O.;A&O, 226-230, Mainzer Landstraße, Europaviertel, Gallus, Innenstadt 1, Frankfurt am Main, Hessen, 60327, Deutschland;50.103826;8.6457163
Tokyo;東京都, 日本;35.6828387;139.7594549
Hannover, Waldhausenstr. 5;5, Waldhausenstraße, Waldhausen, Döhren-Wülfel, Hannover, Region Hannover, Niedersachsen, 30519, Deutschland;52.3469523;9.7621129
Tokio;東京都, 日本;35.6828387;139.7594549
Straubing;Straubing, Bayern, 94315, Deutschland;48.8819801;12.569716
Monachii;;;
[Jena];;;
Vaduz;Vaduz, Oberland, 9490, Liechtenstein;47.1392862;9.5227962
Praga;okres Hlavní město Praha, Praha, Česko;50.0596288;14.446459273258009
Genève [Genf];Genève, Grand Genève, Genève, Schweiz/Suisse/Svizzera/Svizra;46.2017559;6.1466014
Marbach a. N.;Marbach, Wahlkreis Rheintal, Sankt Gallen, 9437, Schweiz/Suisse/Svizzera/Svizra;47.3919868;9.5686092
